"FS","SS","FL1.LOG","FL2.LOG","FL4.LOG"
546,111,470,348,822
529,65,410,152,709
931,156,190,526,354
698,388,389,232,358
563,94,392,136,672
690,139,156,480,224
579,147,160,470,296
834,235,430,119,706
502,96,562,383,763
480,137,588,369,777
531,107,153,477,283
460,106,538,249,665
440,105,408,325,814
480,113,580,33,783
466,148,118,467,70
596,114,494,300,726
345,243,394,286,577
419,56,484,53,691
619,187,223,609,475
594,158,205,498,367
550,91,395,179,667
558,136,637,474,851
390,119,179,505,378
470,63,11,563,215
626,183,242,633,529
945,203,140,507,176
844,173,213,602,354
417,183,177,446,324
886,453,220,546,272
438,99,141,398,278
918,216,501,300,714
449,84,484,226,772
920,154,521,211,714
512,200,566,343,781
705,168,184,474,305
855,148,525,328,689
524,76,396,63,729
426,59,27,493,108
725,186,158,554,320
662,108,126,499,281
519,114,174,469,6
638,237,214,502,397
648,135,138,547,263
769,183,213,567,372
485,52,23,455,128
505,88,374,118,659
972,279,213,575,279
488,123,118,522,316
535,178,147,478,191
387,89,169,668,212
437,60,69,543,46
461,187,189,471,209
598,78,53,530,174
685,113,529,243,686
318,282,374,409,542
502,201,168,425,329
466,103,301,604,124
830,230,172,550,230
741,151,130,537,427
569,143,185,566,336
558,117,414,349,818
659,223,149,533,59
548,143,519,373,869
526,278,360,383,349
708,168,107,586,194
884,288,463,357,737
517,258,254,579,470
531,152,162,470,70
1000,180,208,434,346
521,59,354,123,705
450,61,478,138,769
744,126,556,181,768
497,64,523,177,686
886,213,134,430,79
519,110,445,37,733
782,128,148,582,353
629,118,153,523,224
791,142,119,498,225
515,148,37,692,294
721,218,221,608,216
622,197,244,508,326
487,107,544,378,763
688,201,393,329,858
470,96,536,178,630
983,218,211,630,335
951,280,184,561,292
623,123,547,320,880
626,122,557,461,769
331,90,486,232,717
864,177,166,542,331
412,88,511,11,726
647,157,167,433,246
719,127,118,573,217
659,184,211,558,326
508,100,474,187,731
950,415,441,361,423
450,63,415,222,638
709,218,159,408,242
429,63,501,174,683
573,128,160,411,205
637,191,165,605,248
722,225,227,539,330
694,101,189,586,359
610,88,464,275,643
755,205,159,530,298
582,110,135,466,207
949,206,145,384,257
542,241,171,473,283
426,72,495,185,767
839,210,179,616,298
702,177,425,455,684
776,163,156,570,223
891,263,250,632,401
438,46,500,65,714
463,109,550,268,750
502,127,122,506,115
975,398,275,366,348
848,131,626,286,773
519,92,130,427,205
752,231,198,534,230
454,139,174,567,291
623,87,499,192,747
867,270,603,288,804
720,162,185,451,275
552,72,537,107,751
631,139,208,519,344
421,85,103,481,182
430,54,524,153,734
645,140,600,515,712
879,182,225,492,200
493,95,158,538,401
414,75,496,299,782
325,259,362,509,590
429,138,497,458,700
668,116,443,337,769
351,177,240,515,345
896,420,439,275,373
844,269,222,513,319
647,130,657,377,748
779,222,247,547,332
612,131,83,433,300
968,269,207,478,358
879,180,141,532,309
700,215,172,140,207
891,260,208,560,428
540,86,371,82,719
776,259,210,465,177
608,75,511,49,659
735,266,262,606,450
798,168,115,553,285
855,123,478,267,693
436,366,400,312,607
686,130,177,277,214
789,345,301,374,417
680,214,131,621,301
501,103,400,228,693
494,65,427,139,685
672,147,223,476,339
500,101,604,130,767
631,114,117,569,264
421,83,497,41,721
479,86,590,397,741
506,90,488,92,746
518,106,94,481,167
489,176,563,472,868
787,306,237,408,340
684,150,135,399,175
922,551,305,570,256
689,155,71,547,185
494,66,167,639,226
682,180,141,588,233
521,128,123,379,221
757,121,527,165,637
591,132,103,541,220
552,78,570,266,478
544,63,85,561,128
460,54,492,26,684
576,84,486,245,641
678,182,546,567,754
417,323,364,315,576
698,185,147,502,239
467,64,576,156,698
600,491,441,372,642
484,111,429,673,184
497,128,106,492,301
749,281,207,533,252
760,150,175,493,261
691,85,317,185,683
550,183,180,461,244
638,114,140,419,189
481,103,72,521,250
572,142,120,458,232
370,69,443,84,761
477,192,218,291,307
475,186,573,180,695
677,150,191,381,254
431,324,329,269,473
554,135,616,167,781
552,103,498,70,616
621,175,567,343,816
980,204,173,602,316
862,150,421,342,669
544,58,427,112,721
318,254,379,460,570
803,189,136,565,300
564,135,544,447,763
939,191,229,601,329
464,115,69,671,218
521,118,135,427,233
519,95,593,263,721
981,329,251,524,450
530,83,507,229,687
498,90,499,126,702
543,190,223,511,322
463,63,111,540,92
438,82,110,541,187
709,243,167,324,232
628,127,166,577,355
