"FS","SS","FL1.LOG","FL2.LOG","FL4.LOG"
472,167,133,615,242
560,123,149,498,228
705,185,203,514,129
554,99,127,532,64
539,142,231,553,393
590,92,179,595,124
583,137,138,588,259
566,114,320,189,754
593,176,249,508,200
831,225,267,581,402
456,120,356,71,729
669,166,192,635,207
357,160,252,187,299
606,168,202,452,29
469,65,81,456,146
326,131,201,364,199
639,120,169,481,161
564,102,597,323,715
584,139,136,573,218
627,137,433,420,743
418,78,401,123,687
377,98,553,290,732
433,80,293,168,745
605,166,331,172,640
511,96,339,64,699
477,319,426,391,580
831,195,646,401,871
507,200,223,548,301
432,213,257,167,369
325,214,269,263,348
640,144,147,532,30
441,136,639,450,680
949,231,29,641,101
380,117,546,389,774
805,155,96,585,79
458,64,580,374,748
518,98,163,556,257
890,185,602,598,769
364,185,212,167,295
718,225,576,400,778
916,174,180,671,165
414,150,264,524,286
470,110,128,126,220
1001,302,168,663,223
660,122,148,615,234
482,95,617,151,767
486,136,644,457,762
453,129,96,108,372
552,88,144,581,206
694,183,256,471,275
479,244,241,478,262
599,97,148,595,209
469,121,315,92,120
325,151,442,440,564
324,76,93,265,96
562,78,606,167,735
545,82,183,572,186
317,103,163,573,275
688,117,45,336,24
514,98,376,215,813
524,127,130,628,139
578,117,613,419,798
692,159,162,589,233
379,209,323,378,410
682,154,114,606,186
517,131,105,509,163
517,145,227,282,753
666,217,231,546,214
710,195,161,617,317
464,121,237,547,342
779,254,149,216,152
807,119,565,267,691
709,247,198,667,229
760,109,116,528,117
700,180,600,494,815
563,102,642,327,779
469,208,193,620,380
355,95,401,49,739
564,99,89,582,175
746,172,200,596,248
550,84,164,407,71
636,148,376,236,782
666,121,103,602,162
406,124,182,92,182
308,136,252,260,451
611,122,72,160,204
801,298,242,220,282
543,105,130,569,152
455,181,225,633,473
634,142,213,461,157
444,78,89,584,74
294,243,474,489,711
614,154,196,627,221
566,170,394,391,801
594,108,68,581,175
358,57,491,170,685
467,118,494,192,823
854,172,114,576,232
514,333,248,216,302
452,114,158,592,221
580,313,569,709,627
382,217,426,389,383
308,102,92,545,259
548,72,331,9,656
538,127,122,442,87
516,115,145,481,234
968,337,339,770,646
1021,434,538,586,756
472,121,120,569,42
494,117,470,290,827
