"FS","SS","FL1.LOG","FL2.LOG","FL4.LOG"
366,138,335,22,529
318,120,325,10,370
667,384,286,467,221
325,106,504,200,491
355,281,462,304,544
293,120,357,128,457
879,724,443,342,348
348,297,512,295,575
328,199,299,92,523
343,217,498,313,543
354,135,419,12,381
303,98,496,204,494
270,102,505,49,460
459,432,439,283,374
305,130,255,122,456
372,365,494,36,466
388,152,505,229,333
265,110,344,28,457
299,131,502,158,394
255,145,351,157,500
318,111,412,110,435
240,136,308,48,508
638,265,102,499,215
308,95,149,269,106
258,101,326,113,498
279,189,455,202,357
843,354,28,437,71
761,305,216,544,117
238,153,435,176,428
735,312,223,523,197
347,106,259,32,437
327,107,344,35,462
359,124,520,172,546
842,269,266,407,282
359,180,400,153,475
330,130,356,179,559
313,149,325,121,482
298,125,342,114,442
285,150,441,177,467
277,154,472,57,526
290,114,404,193,483
573,215,260,585,183
294,84,435,166,362
291,76,324,2,413
390,241,316,144,430
776,333,232,469,194
310,131,518,106,472
291,117,441,162,517
282,89,313,215,135
223,92,410,166,320
348,112,352,17,523
416,341,554,185,484
257,209,490,294,438
702,300,283,608,193
474,531,345,192,284
319,113,381,65,427
349,117,505,96,477
234,56,483,55,470
251,116,150,466,210
288,91,357,191,456
252,117,422,289,438
542,219,275,558,359
260,73,350,21,485
342,112,501,4,473
309,107,308,32,450
328,98,397,80,408
326,163,319,84,384
333,206,586,229,539
324,132,402,111,454
269,106,326,27,485
362,105,470,117,494
657,274,157,506,240
392,218,543,133,329
250,36,330,18,423
526,485,301,178,327
381,227,466,278,535
306,104,567,238,495
244,117,479,165,534
286,263,366,186,67
802,341,327,616,337
363,191,411,250,553
387,278,488,359,653
568,218,246,543,189
301,76,409,70,322
813,309,277,544,317
209,160,351,191,329
604,300,196,523,170
387,151,522,313,505
322,116,429,223,500
575,271,599,306,548
286,138,458,19,365
499,211,545,497,502
300,141,421,264,496
364,126,108,423,213
376,337,351,208,371
302,98,341,250,557
310,188,387,13,428
290,152,429,109,463
284,138,365,145,522
778,434,4,463,312
317,111,301,132,422
329,129,483,227,471
263,85,403,109,415
275,161,563,193,552
391,199,496,190,504
280,111,81,12,39
312,82,350,68,432
223,166,469,261,439
287,183,323,95,511
670,246,216,488,229
358,153,423,272,306
294,126,418,109,540
320,123,300,69,457
269,189,411,15,511
256,108,403,55,487
299,74,456,27,479
820,298,225,474,233
308,170,328,281,522
296,66,382,57,448
301,84,331,57,469
257,102,448,77,479
905,393,306,525,107
347,222,382,128,518
355,194,381,245,556
288,137,379,39,550
286,101,274,441,165
332,145,382,115,534
885,738,568,395,596
262,152,434,108,543
295,169,452,11,544
