"FS","SS","FL1.LOG","FL2.LOG","FL4.LOG"
733,148,172,537,219
835,249,192,490,216
1013,362,231,662,433
992,131,206,592,207
1009,183,185,451,172
472,253,300,266,343
488,124,650,272,845
589,99,139,390,163
505,85,522,198,707
800,119,115,533,189
559,113,587,389,819
580,212,585,494,836
748,161,126,516,205
809,250,136,666,275
921,176,254,658,320
688,249,127,483,179
971,374,297,756,395
982,224,260,582,166
506,137,609,457,857
799,217,183,598,361
681,169,581,437,879
827,239,566,375,864
774,244,260,605,467
1021,254,657,478,927
790,185,165,472,395
687,177,594,301,877
701,278,250,554,274
537,133,638,363,839
562,114,548,234,732
621,163,198,604,329
876,511,222,541,319
484,70,694,207,806
518,91,573,189,802
809,190,176,556,273
1007,253,651,378,860
908,223,249,529,281
565,146,638,455,788
637,185,558,545,866
275,167,588,434,775
332,89,389,336,556
784,158,165,485,200
817,340,260,709,427
608,118,191,556,195
814,177,231,505,164
542,130,553,391,854
507,107,557,319,737
731,183,205,657,372
722,133,179,436,232
360,68,161,576,279
993,210,192,519,249
757,221,414,558,434
612,160,125,343,167
542,153,149,494,301
851,156,183,401,235
545,160,579,300,694
520,105,127,526,128
705,256,204,514,289
297,101,344,215,356
750,168,173,555,214
780,183,177,393,171
642,186,175,458,227
775,161,228,417,226
544,75,27,527,171
1009,197,566,389,847
499,181,657,365,870
759,164,205,525,235
883,196,244,664,476
944,159,173,470,185
361,67,19,429,144
311,135,327,314,497
989,244,224,559,360
796,146,153,518,242
901,166,242,552,123
394,67,153,499,131
659,195,259,323,498
965,267,212,658,393
710,234,295,466,258
865,223,202,607,243
668,168,207,425,189
503,126,554,238,740
784,147,182,504,280
990,181,202,497,255
888,184,293,432,268
980,150,161,425,245
438,92,598,302,823
641,252,630,466,878
659,144,562,368,786
937,222,235,573,238
752,163,172,453,180
863,137,212,544,189
891,255,214,541,359
449,93,489,275,815
863,330,126,662,257
744,194,177,462,308
553,172,135,524,316
694,168,179,474,146
399,87,164,550,172
873,230,257,472,213
463,116,134,547,243
916,204,208,657,162
930,332,398,629,467
957,227,222,515,248
644,161,217,614,228
703,196,187,459,252
887,227,293,441,283
493,106,458,323,832
529,164,393,382,590
654,298,555,668,642
575,167,598,461,790
651,162,642,449,801
991,139,212,443,137
766,248,376,459,460
435,84,549,71,802
484,123,524,245,788
715,176,160,415,325
454,65,572,151,767
878,253,161,483,224
450,62,539,62,713
357,83,528,354,847
971,160,244,501,210
868,186,157,593,264
679,204,175,481,192
440,75,641,307,807
627,117,661,426,795
825,197,171,577,283
740,130,239,568,225
456,67,442,29,719
375,99,169,531,112
449,62,591,236,809
746,153,226,562,182
657,187,197,420,288
644,147,297,537,310
585,140,607,300,773
834,281,176,531,306
757,158,231,546,214
531,111,639,225,826
773,191,615,542,765
650,164,204,434,201
776,172,248,322,213
592,87,166,471,178
391,119,510,358,810
339,184,344,450,557
638,165,611,572,784
631,205,526,578,820
389,63,556,85,720
514,276,382,325,423
544,108,512,197,809
543,128,528,313,932
507,86,574,411,774
727,111,166,397,197
955,349,235,695,410
697,176,282,596,397
628,112,213,561,207
1010,166,195,568,11
488,112,621,356,801
981,157,194,545,203
465,128,654,438,824
459,129,499,137,802
765,128,131,596,235
944,241,299,657,514
739,232,218,516,206
595,127,168,493,103
753,158,207,517,163
707,182,202,527,214
865,152,203,476,146
654,131,518,287,754
389,61,536,59,831
800,165,187,390,70
503,157,610,351,865
430,120,204,627,343
732,183,291,449,439
458,117,538,315,856
516,132,490,327,787
877,226,129,490,203
580,107,527,154,806
825,187,254,418,278
634,124,212,533,252
891,217,309,509,608
892,153,176,649,257
563,143,194,486,125
351,45,95,490,218
861,181,155,529,188
436,204,390,468,580
561,162,596,357,762
368,112,619,286,804
885,187,225,550,238
649,145,166,593,279
475,97,575,251,778
707,162,229,543,194
847,333,559,484,845
975,291,253,547,226
740,164,237,596,421
747,112,304,585,326
949,240,521,450,833
374,272,198,537,502
969,183,197,575,315
786,135,542,392,785
709,136,213,578,274
565,128,144,456,180
