"FS","SS","FL1.LOG","FL2.LOG","FL4.LOG"
317,157,291,341,192
978,781,279,376,336
668,258,237,313,199
427,145,473,29,466
206,168,399,236,360
338,181,550,145,471
231,172,394,38,462
328,180,253,381,176
333,172,520,91,447
773,386,246,350,305
717,504,381,248,388
983,422,316,389,182
353,255,582,143,533
279,211,285,297,264
231,137,241,68,191
242,88,460,73,578
388,147,477,41,516
871,280,228,437,61
336,147,516,30,533
752,574,90,112,70
755,432,379,257,51
258,197,374,185,303
682,492,311,523,365
618,350,296,380,203
305,80,323,97,362
374,314,423,294,412
678,394,223,115,128
883,399,248,294,255
310,84,429,160,463
621,584,225,189,77
548,367,353,15,330
328,207,503,22,454
423,137,489,226,522
399,206,424,61,490
672,676,351,64,184
409,212,298,401,405
260,115,537,111,523
692,782,556,564,674
658,318,209,153,170
334,184,517,180,491
459,132,228,316,299
460,205,391,437,528
324,212,272,534,301
657,718,86,89,180
367,215,430,192,574
384,144,547,60,496
775,478,353,342,372
800,437,305,403,264
217,120,379,187,340
328,125,438,119,503
373,159,386,100,348
309,126,465,240,466
246,104,206,233,288
235,77,455,93,413
366,173,562,111,576
396,108,561,82,539
870,426,229,391,248
656,588,280,310,242
549,143,520,118,548
413,210,457,196,459
281,143,455,243,621
405,166,518,392,607
285,110,520,49,522
386,184,464,171,486
298,158,555,133,494
344,101,466,92,485
413,109,503,91,573
315,220,486,303,476
267,170,280,398,277
316,189,359,197,366
354,163,604,183,558
245,245,375,314,308
947,625,432,564,556
403,154,502,140,560
223,192,278,149,187
339,134,78,288,163
589,245,520,212,449
637,652,570,392,566
386,284,484,399,610
697,293,198,396,117
346,183,198,455,245
269,94,19,487,261
332,156,548,189,540
269,276,398,197,413
304,315,482,263,493
646,368,459,533,409
729,834,342,347,287
296,97,64,412,210
446,152,401,64,485
290,129,132,426,179
234,185,421,250,404
957,453,321,348,379
790,435,269,472,252
457,168,485,312,565
337,130,442,39,491
742,471,184,461,139
360,132,476,111,539
702,753,549,356,532
877,355,192,371,298
313,89,393,62,496
393,146,205,356,258
