"FS","SS","FL1.LOG","FL2.LOG","FL4.LOG"
545,479,312,312,321
531,99,112,536,267
353,147,605,295,824
481,351,282,264,284
412,75,494,155,687
369,68,512,15,716
507,127,586,343,694
525,131,587,243,658
524,78,83,580,237
549,125,521,289,744
556,474,362,452,479
432,81,95,568,250
556,84,583,181,618
544,93,590,217,762
494,310,495,392,524
540,111,616,207,734
428,78,69,517,192
530,88,286,585,25
518,107,348,152,730
471,70,480,99,784
634,122,114,438,295
606,155,429,163,733
473,121,607,281,708
488,88,42,500,246
539,311,364,498,397
980,912,442,554,593
564,99,120,512,147
364,141,151,177,228
488,323,190,205,195
762,779,535,567,768
911,622,463,499,516
728,157,97,496,58
481,104,82,479,220
543,445,310,288,319
571,73,472,27,653
513,109,465,189,711
573,118,136,526,229
425,63,528,118,702
558,388,274,257,326
753,765,390,345,529
377,143,156,180,161
782,893,362,315,435
528,73,471,142,718
751,705,464,628,665
552,124,516,165,677
562,98,110,509,188
423,225,251,301,276
470,131,666,242,781
676,248,342,217,275
640,619,371,373,711
395,68,119,419,136
530,130,564,295,717
437,94,568,214,767
637,617,283,265,351
509,95,579,192,766
694,633,334,314,339
723,579,301,269,341
405,197,235,218,251
465,78,201,601,151
415,225,288,336,309
689,488,326,446,344
470,70,446,123,640
531,82,586,133,603
539,143,83,632,216
440,91,558,211,650
664,556,325,311,354
841,718,408,387,466
425,84,232,136,349
498,153,75,644,333
542,139,560,235,786
372,191,219,269,267
372,133,182,194,242
448,102,560,186,666
855,716,375,353,392
558,134,236,549,150
483,356,274,262,285
456,341,301,409,437
521,332,353,446,378
550,481,632,615,582
478,81,555,207,675
618,118,565,235,661
499,84,142,533,118
763,647,393,397,457
518,62,70,583,265
464,88,10,471,177
374,79,94,571,178
730,218,562,247,749
482,113,486,165,669
503,92,81,583,267
746,761,495,562,534
470,90,140,558,224
415,238,305,425,362
827,758,370,370,417
486,79,526,124,611
657,250,366,457,366
552,93,99,533,233
873,424,328,269,519
983,855,348,329,398
500,73,552,254,741
554,121,545,227,638
405,232,268,397,269
742,638,350,324,456
497,92,470,199,809
545,103,484,265,698
729,658,367,336,395
421,114,512,124,688
508,112,467,111,676
379,68,552,80,644
422,263,333,411,341
532,101,114,588,310
592,541,367,354,381
523,74,596,136,690
520,313,345,400,472
507,291,199,193,223
470,119,517,49,760
825,962,522,464,603
453,235,222,176,283
707,278,483,509,512
357,109,591,136,653
418,244,291,230,466
634,110,534,166,722
439,94,200,542,149
509,246,361,428,408
362,91,602,305,771
451,116,58,521,78
609,96,567,231,599
449,289,308,444,360
451,104,527,182,662
579,154,228,661,316
494,81,43,487,230
409,263,297,221,469
676,168,220,598,403
583,544,340,324,351
558,118,595,215,647
488,97,511,196,682
541,153,599,244,758
552,292,368,321,453
628,83,510,27,640
853,190,137,512,182
517,87,483,204,692
492,273,195,194,225
506,174,431,133,782
480,86,576,284,718
471,108,94,632,215
514,90,625,222,637
828,320,193,200,200
533,439,315,309,349
560,135,566,230,740
580,105,569,128,644
494,94,83,566,275
440,239,227,204,271
468,70,494,115,709
657,144,95,656,273
495,150,615,332,747
445,284,281,286,445
600,431,549,414,679
575,115,90,525,181
520,118,114,504,289
568,120,514,24,795
469,253,296,336,319
907,496,553,430,731
528,94,521,245,733
681,665,391,391,418
514,398,369,417,375
551,87,547,47,668
433,109,396,10,815
606,139,593,303,713
426,285,247,483,288
762,853,395,494,454
640,572,321,307,341
559,228,443,220,758
436,81,516,24,686
421,230,209,218,259
381,71,520,183,736
693,191,520,187,695
535,90,66,497,162
513,91,498,154,735
443,65,400,62,692
492,359,295,247,330
739,761,319,265,344
477,124,547,148,712
712,609,337,325,362
562,97,492,238,620
763,154,143,513,165
457,93,347,103,772
519,84,533,239,729
512,113,464,54,705
799,541,528,312,660
531,115,75,565,272
456,97,56,504,239
566,111,598,410,729
443,48,500,145,673
473,89,470,267,742
594,86,524,233,707
411,67,524,189,735
471,300,247,202,274
519,76,193,521,259
511,87,407,132,770
470,153,155,610,311
472,160,228,476,325
960,685,455,505,611
584,559,336,315,348
455,87,71,517,152
600,143,526,282,705
408,188,302,411,334
536,97,491,16,769
402,215,268,413,285
567,522,302,267,330
434,55,489,164,780
568,115,498,209,689
365,98,478,151,601
654,129,538,365,851
513,64,522,113,603
642,181,695,374,865
440,130,193,616,418
473,212,243,204,237
409,148,272,374,366
356,140,221,434,454
767,237,614,319,809
372,163,279,433,317
829,86,572,198,708
546,126,142,544,286
552,144,630,298,674
568,156,532,170,745
856,878,429,430,469
483,160,443,329,611
439,309,268,328,294
378,81,3,522,49
650,543,314,301,306
598,85,119,476,12
431,126,514,164,741
491,79,612,236,773
722,781,390,452,417
480,99,60,527,255
497,88,515,169,598
636,357,259,235,296
572,155,198,536,381
521,120,521,190,769
579,145,499,165,688
548,478,277,230,293
483,91,465,178,822
478,82,76,482,203
482,386,272,324,298
573,482,422,470,433
702,132,154,553,242
436,91,85,472,175
567,470,346,336,378
819,882,413,410,573
474,45,158,569,396
777,229,628,447,799
479,120,572,207,722
378,67,486,142,815
458,55,505,177,737
654,130,564,137,711
459,69,571,145,602
566,80,544,239,632
479,84,515,32,690
548,98,575,308,698
510,81,515,205,763
512,105,72,477,142
493,64,47,202,57
639,652,446,528,526
574,329,274,264,314
686,442,379,332,555
920,669,406,451,454
801,482,469,401,684
553,92,116,553,121
493,85,85,552,180
559,86,531,211,699
498,128,450,181,670
486,73,70,459,293
732,705,306,308,379
584,108,613,235,693
495,270,370,274,453
602,104,114,434,125
845,634,401,380,450
755,825,358,299,377
568,80,454,127,711
735,627,427,431,472
629,581,333,321,380
562,83,468,95,620
388,181,473,484,508
575,148,473,183,709
904,673,312,291,392
430,244,253,267,263
452,243,232,223,277
443,107,98,521,40
477,79,556,152,629
477,128,639,259,752
367,108,258,448,481
658,587,397,456,404
376,112,184,224,372
639,567,343,322,473
450,79,542,193,708
459,113,582,197,712
401,129,493,222,662
868,158,598,234,628
518,120,84,492,169
414,82,205,522,69
557,491,387,392,455
479,72,569,342,758
432,87,551,181,790
533,90,114,481,191
464,78,493,111,713
496,74,550,128,736
511,88,548,211,774
524,86,526,152,564
457,281,238,251,296
653,171,111,371,203
481,248,346,309,404
436,120,623,278,708
482,330,324,432,370
502,92,527,174,716
525,175,151,512,240
656,618,353,325,376
553,457,301,304,328
628,138,584,286,732
523,345,455,493,538
489,372,278,277,332
763,202,190,239,237
902,636,355,498,409
556,111,522,227,714
802,635,325,311,358
530,100,498,209,645
472,70,624,313,694
485,97,506,209,772
509,102,556,45,667
607,464,367,364,421
503,84,561,227,766
619,396,363,500,578
457,318,354,241,501
752,137,586,211,767
533,216,272,357,244
357,74,616,247,699
486,100,84,591,192
894,942,370,382,392
457,126,105,609,232
475,75,529,205,686
576,535,255,268,339
494,80,41,608,224
613,487,273,238,327
459,303,280,502,382
710,74,87,540,264
361,181,457,119,661
384,220,286,346,324
530,79,538,222,582
517,419,298,252,354
666,643,435,541,522
434,73,521,119,746
439,231,244,329,263
510,90,151,527,208
496,95,85,606,273
512,132,567,197,682
772,497,309,319,337
655,122,117,518,297
670,540,319,318,388
642,269,343,503,478
510,61,534,222,667
419,195,269,377,318
516,109,585,292,683
562,351,421,478,487
742,616,322,367,366
500,78,576,265,659
440,291,314,375,395
653,484,472,408,699
521,94,434,165,592
522,156,473,199,669
513,97,53,523,240
444,89,526,124,728
575,116,139,512,278
629,105,479,147,704
462,122,526,166,716
505,107,488,208,671
551,127,531,184,620
441,85,157,484,188
598,88,553,250,720
593,401,326,424,344
562,123,492,72,616
544,113,645,292,545
507,109,545,210,708
558,351,279,332,340
645,593,350,338,386
535,335,361,526,421
640,606,340,319,324
536,72,567,198,677
390,128,426,457,450
598,384,326,413,371
473,355,264,269,262
583,531,309,272,341
649,427,386,444,392
540,85,61,578,321
526,154,201,411,132
