"FS","SS","FL1.LOG","FL2.LOG","FL4.LOG"
369,42,73,230,168
561,92,88,381,118
905,181,140,422,236
402,93,103,340,95
499,81,80,493,224
541,181,116,436,138
492,129,146,464,168
439,103,92,420,181
538,137,57,535,264
608,108,38,446,172
566,124,91,501,251
608,212,109,436,222
511,108,125,312,160
395,99,40,382,132
747,217,194,495,264
934,152,111,504,162
527,162,184,507,273
509,92,40,251,198
693,185,87,536,217
768,163,114,318,269
513,100,44,496,177
974,300,173,632,216
574,84,48,499,217
575,182,131,408,262
731,228,154,411,240
507,82,94,315,102
611,128,147,439,143
373,104,127,320,130
730,344,228,678,267
404,78,149,406,220
560,143,70,436,107
509,64,91,385,79
516,140,113,558,225
500,77,31,435,202
552,184,145,551,280
784,285,223,508,301
577,149,146,389,128
468,103,112,352,164
617,158,33,475,224
810,253,172,556,194
650,178,150,463,127
485,86,190,282,105
460,81,20,260,43
508,149,121,413,166
945,233,148,334,274
406,177,141,409,165
884,269,177,652,284
544,141,97,437,56
527,135,133,520,190
422,82,107,449,170
517,116,124,400,223
623,191,77,459,169
412,90,125,405,226
475,87,49,414,255
500,80,119,404,193
591,207,102,492,197
524,70,124,293,200
573,183,190,366,191
356,114,82,455,70
632,126,145,490,269
621,144,150,576,177
616,160,138,523,151
463,64,162,428,100
495,76,116,496,233
680,159,137,535,240
494,155,179,481,281
619,217,155,397,184
724,142,83,375,149
559,152,171,466,61
962,271,209,541,228
685,148,160,309,190
483,159,159,449,234
329,193,60,642,243
582,203,214,451,142
503,92,40,383,147
824,228,145,476,220
444,168,132,167,224
502,99,115,316,128
415,64,124,327,71
430,67,23,439,163
356,69,57,436,74
797,215,195,583,239
356,266,314,272,498
487,75,126,396,125
587,206,156,550,265
449,117,45,344,210
463,104,92,322,68
638,119,128,425,228
400,65,57,298,161
438,65,513,217,644
563,139,125,340,90
435,73,63,434,172
597,140,192,429,275
474,115,155,417,257
471,145,122,385,203
681,160,116,596,203
391,257,170,426,111
471,166,131,351,137
594,116,10,393,203
707,107,177,441,148
591,146,171,458,247
478,86,98,270,200
516,99,45,302,202
667,181,155,439,200
795,185,214,484,191
536,106,73,330,221
709,127,133,423,41
571,218,165,448,261
449,81,82,314,110
560,156,136,347,118
595,106,15,393,146
641,227,100,399,222
400,123,41,539,238
563,133,167,336,146
863,284,182,646,161
424,85,72,403,159
622,152,70,359,88
391,147,151,403,231
464,136,151,467,151
621,169,97,385,138
365,71,40,415,145
1012,219,106,601,313
861,165,130,632,251
613,224,107,488,233
494,127,73,320,159
429,117,92,507,97
636,167,129,559,264
535,118,76,527,240
519,92,59,372,159
495,128,128,414,132
480,72,126,357,97
519,125,154,483,224
703,244,185,402,281
513,181,141,289,80
622,198,109,540,254
428,59,65,333,4
434,143,29,484,225
646,125,120,454,225
645,104,86,476,124
385,67,124,306,188
924,180,137,427,243
436,131,101,311,203
442,150,29,347,190
478,218,159,342,153
541,177,158,377,11
608,227,144,573,423
594,225,135,461,222
674,165,147,452,271
588,158,107,363,117
