"FS","SS","FL1.LOG","FL2.LOG","FL4.LOG"
366,234,475,231,407
324,147,515,162,463
324,74,526,269,429
770,481,182,540,54
323,158,489,65,490
623,491,310,72,345
368,117,313,459,418
433,185,550,157,578
291,112,226,40,412
844,583,294,452,277
428,140,524,113,432
512,217,70,514,290
394,168,366,417,465
725,295,180,255,149
364,140,495,409,468
332,104,346,225,356
552,373,188,540,77
484,187,85,433,204
417,248,422,106,524
404,300,490,222,479
481,111,566,68,476
351,111,428,305,462
279,217,74,380,297
668,463,153,404,128
483,228,580,188,460
328,71,100,342,385
409,99,495,163,589
381,265,570,180,479
746,680,246,578,270
550,282,510,45,467
315,64,320,286,488
314,160,428,216,498
742,278,52,367,230
363,96,101,107,461
465,208,65,362,244
424,136,562,114,379
758,312,292,368,269
317,118,245,299,435
303,100,283,7,460
488,127,465,79,445
314,111,358,36,416
336,111,39,362,341
363,131,495,341,392
871,487,239,459,148
679,252,159,408,261
343,103,397,340,441
463,162,26,508,263
653,317,209,417,28
585,325,165,511,232
758,252,165,381,252
318,67,359,15,412
389,94,250,115,411
332,161,390,269,500
334,166,460,115,476
223,122,401,279,336
379,152,474,342,501
410,255,481,304,507
289,93,457,76,418
354,98,447,222,420
412,143,514,255,462
348,117,453,76,456
329,91,352,371,438
645,248,470,191,286
253,112,452,356,564
651,216,89,414,159
260,107,535,57,543
406,217,464,272,364
370,140,441,67,493
372,153,305,99,372
238,138,397,68,450
344,126,424,327,476
485,123,429,295,401
384,206,441,43,522
290,87,477,275,384
375,151,351,12,492
377,270,392,214,372
444,203,149,510,281
369,154,391,68,444
342,212,331,322,173
665,504,227,367,43
356,152,583,271,430
677,546,248,558,363
315,103,195,245,439
840,516,285,212,346
854,503,211,454,168
262,78,440,362,390
421,145,497,112,437
594,219,503,84,451
306,200,402,166,427
853,479,229,436,285
380,100,412,231,403
306,163,377,379,403
362,156,518,40,537
436,254,177,460,103
644,514,178,464,23
233,132,495,208,499
375,180,441,122,496
461,136,358,119,473
410,155,570,301,570
328,108,411,160,480
517,170,466,107,429
892,389,231,379,299
538,327,157,462,105
325,80,420,174,470
284,99,447,239,395
298,76,358,46,273
720,367,268,446,268
291,88,402,224,261
323,187,347,20,403
492,198,499,206,470
308,132,347,423,373
613,243,116,450,91
385,222,475,204,428
848,652,263,481,245
412,126,519,22,398
280,144,505,161,406
875,554,270,430,123
449,207,508,216,515
879,652,250,528,104
388,276,381,295,317
377,140,265,5,457
282,47,303,305,365
288,72,303,148,452
384,284,437,135,497
794,420,171,395,248
691,462,256,498,116
355,92,380,113,384
536,222,593,214,494
594,373,14,395,222
410,189,9,529,168
268,55,320,195,403
457,166,449,94,489
643,680,168,476,73
300,81,195,313,329
313,151,501,333,414
348,130,454,168,460
372,122,498,201,406
382,285,490,314,448
536,471,82,321,199
573,326,152,348,224
630,336,189,341,241
368,185,376,294,430
355,85,371,364,351
396,118,467,175,496
584,262,132,387,110
664,277,118,476,183
362,197,305,68,417
371,115,361,373,405
306,79,246,279,294
786,489,256,446,261
876,452,266,255,195
325,151,534,127,504
337,134,191,105,352
670,334,184,400,123
571,298,140,443,140
773,693,212,463,217
797,463,217,417,292
243,76,381,297,478
957,557,278,533,250
317,92,268,387,277
384,176,405,189,458
303,74,367,152,471
363,220,50,444,116
736,425,326,317,254
372,92,431,304,415
437,162,572,39,494
733,516,235,588,256
452,179,514,188,344
341,119,396,243,465
499,218,481,189,433
682,866,477,496,460
306,84,419,350,484
394,163,622,230,530
628,325,236,306,110
376,159,450,238,539
326,335,507,162,392
502,212,532,209,610
642,351,164,504,209
862,287,205,400,196
332,156,312,250,368
366,104,279,13,402
389,170,331,381,256
382,120,256,171,495
390,169,423,8,555
306,142,541,214,565
991,442,294,370,296
321,176,334,292,394
552,279,303,363,360
767,348,75,496,286
384,96,524,191,444
796,248,84,410,19
652,306,151,434,243
825,438,299,443,318
338,138,398,278,476
333,117,381,172,512
416,257,375,51,397
656,342,138,524,266
355,117,462,103,417
342,159,399,325,427
317,98,188,273,288
842,497,232,403,261
704,447,259,370,186
392,125,471,277,417
984,356,206,487,308
323,124,353,402,336
299,95,232,99,286
530,362,240,473,375
503,179,31,378,256
523,306,195,444,169
876,441,251,358,297
348,332,505,272,575
442,120,449,97,514
439,146,415,120,439
774,451,234,402,206
379,236,320,45,298
648,471,200,347,27
325,174,393,197,467
867,361,287,323,262
319,149,219,34,325
882,386,137,397,66
707,356,143,482,236
356,99,360,205,561
953,715,376,665,469
387,153,475,356,460
346,114,109,414,211
742,722,269,527,341
343,103,165,355,429
851,633,362,516,451
658,324,212,357,144
295,132,283,263,527
429,247,439,122,197
324,159,245,215,268
322,130,174,301,285
493,199,297,239,383
445,263,606,208,626
410,301,196,462,142
349,162,613,250,507
800,565,232,473,177
598,478,274,518,294
566,711,394,433,437
981,792,303,445,281
345,207,303,150,459
461,136,563,62,553
901,360,203,450,260
735,529,284,333,108
351,124,539,119,415
679,256,220,305,111
308,149,334,2,486
307,150,320,110,403
265,106,582,284,394
499,617,524,421,529
978,672,310,497,353
267,77,378,395,366
