"FS","SS","FL1.LOG","FL2.LOG","FL4.LOG"
500,284,171,283,184
575,287,294,462,71
568,316,127,370,367
438,252,145,443,264
279,60,429,202,436
392,194,195,380,253
656,336,235,391,215
555,412,219,310,60
528,410,241,361,339
339,90,71,410,260
423,250,182,470,236
261,158,246,443,218
546,296,3,400,139
603,302,122,400,225
293,120,481,170,527
288,105,50,369,80
379,230,93,367,206
282,106,165,458,136
506,404,179,389,134
331,176,547,48,450
537,211,133,356,233
293,111,184,417,120
334,183,211,9,70
293,112,147,407,341
452,243,15,360,230
856,536,260,398,258
398,384,176,372,159
378,169,252,498,189
462,350,113,216,209
575,365,221,457,253
298,104,23,32,144
383,172,163,401,216
549,405,97,305,195
440,183,182,307,200
404,240,179,362,163
368,128,4,374,89
398,232,161,312,76
461,251,201,454,117
337,205,121,412,275
543,299,120,449,143
473,332,192,449,130
488,303,175,346,304
342,331,27,301,241
650,290,235,579,300
235,85,346,44,490
469,149,186,488,252
678,599,277,489,55
391,271,234,447,247
350,214,183,474,179
395,197,243,335,204
544,518,243,414,172
495,313,163,441,203
554,373,105,390,178
638,371,236,435,138
592,407,251,530,239
616,447,228,554,302
510,454,129,406,119
627,313,237,537,92
564,358,67,446,190
442,320,207,432,279
359,213,202,321,306
589,378,227,329,310
311,170,416,75,389
291,220,71,332,289
800,725,319,558,248
444,247,195,344,250
325,151,422,23,539
507,328,180,246,222
545,245,228,413,338
414,141,107,311,5
389,148,314,256,224
513,569,219,147,215
486,236,236,477,227
319,180,169,362,218
474,192,53,317,268
291,221,177,465,298
422,259,224,420,72
352,129,138,294,153
537,226,192,335,163
371,276,216,424,255
507,325,271,397,296
365,207,90,400,175
411,132,248,423,240
641,463,211,454,319
630,363,286,383,193
394,245,36,311,104
478,193,111,227,228
782,451,238,462,184
354,192,212,287,290
384,295,154,288,102
336,86,367,41,495
505,208,175,344,103
379,266,218,243,232
352,172,90,341,170
481,267,203,447,304
420,332,108,460,193
528,498,238,445,306
509,181,186,428,12
623,454,224,355,274
414,197,207,439,144
341,276,126,389,208
344,142,215,331,256
247,214,53,246,250
671,582,49,521,326
436,209,246,451,53
364,160,182,304,176
436,276,124,315,242
441,177,242,426,266
758,364,206,483,176
671,610,150,418,61
502,329,199,396,141
258,93,429,80,386
251,80,419,199,454
442,457,334,96,367
582,340,136,357,295
457,327,239,324,97
476,364,207,271,227
506,319,182,378,196
458,256,188,479,75
737,383,226,455,21
950,684,278,414,330
444,143,211,161,203
456,265,156,313,174
392,251,92,164,277
471,254,113,398,303
379,140,238,402,209
474,282,206,343,231
499,384,137,481,202
310,123,527,79,475
266,60,154,209,125
468,323,214,490,190
709,533,223,444,237
424,200,240,325,185
722,302,239,457,294
378,175,247,415,84
403,165,23,361,63
268,112,495,108,479
288,148,526,44,508
438,247,254,253,262
349,129,83,327,119
355,158,106,298,206
438,217,220,203,78
503,254,255,473,212
516,345,98,430,79
635,451,191,430,124
450,323,170,507,134
829,383,288,470,306
551,297,272,412,312
496,249,207,543,140
427,377,125,445,204
535,272,119,147,259
943,657,253,496,30
435,274,111,435,44
442,338,189,379,287
422,227,268,427,88
684,350,262,552,166
786,564,121,392,182
512,417,300,411,238
386,216,186,419,239
555,561,197,411,209
453,290,256,312,226
314,147,165,360,14
534,359,16,523,73
503,244,214,502,144
440,186,221,365,285
547,427,194,455,101
574,389,231,393,243
513,284,281,447,239
510,177,106,382,90
507,340,214,396,219
464,355,52,299,224
356,246,239,445,166
458,246,263,453,270
332,105,567,209,502
440,259,180,232,216
403,174,60,453,293
453,280,172,345,239
462,227,93,383,303
468,231,213,449,180
311,192,103,217,217
626,262,162,327,105
667,557,215,400,221
442,328,101,369,180
508,303,319,412,56
308,177,217,424,207
954,601,327,504,132
467,360,166,482,173
292,163,80,387,293
430,240,255,433,195
372,166,53,376,72
564,601,244,480,123
422,281,151,308,274
490,320,244,511,238
350,192,87,192,311
590,317,246,253,67
491,321,212,365,67
939,807,381,298,299
649,532,240,482,16
424,284,249,412,153
333,177,166,401,222
304,106,171,375,267
456,243,245,333,171
712,400,235,484,251
492,432,152,453,257
367,215,184,431,292
384,166,215,390,97
322,194,58,97,66
516,355,168,370,196
453,181,162,440,160
535,350,109,380,243
669,455,118,454,191
493,291,143,361,284
652,521,214,444,171
386,271,137,416,288
369,220,240,423,293
270,87,484,98,437
262,95,412,124,314
542,337,241,545,213
380,262,136,282,186
694,525,224,500,322
413,277,229,332,58
484,300,289,286,301
797,327,259,542,256
441,209,154,347,258
396,235,229,426,232
374,244,164,242,259
310,149,191,360,242
520,606,370,386,304
752,537,220,291,185
455,390,185,463,205
447,230,80,421,380
404,208,209,420,229
328,178,527,74,502
367,338,74,384,272
287,123,203,404,255
345,243,253,510,129
517,212,273,443,155
267,152,320,483,289
288,186,225,411,190
702,422,148,462,326
412,215,208,485,270
406,218,42,342,309
260,150,385,415,263
457,171,149,489,127
351,170,154,424,206
408,261,256,409,316
544,490,243,584,125
442,187,134,343,168
507,526,300,375,329
582,288,244,411,195
389,213,239,464,253
439,405,157,311,141
285,114,123,459,28
327,136,272,319,252
300,216,236,438,207
503,301,112,379,125
541,306,139,408,128
317,298,177,429,160
483,388,164,346,129
395,146,165,394,214
561,257,228,359,140
389,212,283,478,232
411,265,170,388,195
576,619,196,520,281
547,501,183,496,116
408,232,172,139,253
305,134,111,482,87
345,156,181,354,157
310,162,134,297,361
705,663,245,86,210
380,166,233,286,58
322,207,486,36,520
364,98,165,342,315
366,342,317,464,243
468,315,137,462,142
591,403,217,379,26
336,152,229,399,130
540,376,105,504,216
487,278,279,327,200
391,312,145,473,134
336,90,154,345,250
353,178,70,441,199
555,247,223,344,286
410,261,222,376,238
542,206,55,452,248
249,164,47,276,258
504,301,107,382,170
470,275,48,277,107
377,176,72,400,252
385,327,223,412,302
539,459,232,485,142
397,177,144,302,214
460,311,246,252,272
210,146,493,254,574
272,155,174,424,131
321,194,111,347,183
766,569,189,446,278
597,544,265,374,266
573,263,51,396,268
357,204,174,420,168
326,183,146,172,84
451,245,43,453,20
309,156,425,121,410
626,484,37,523,44
638,418,236,420,274
345,188,46,197,250
387,355,220,290,228
571,381,162,500,204
429,240,177,401,89
229,151,162,216,172
528,248,48,345,220
563,400,474,228,419
363,101,35,137,474
559,241,210,382,315
741,365,63,369,280
492,342,203,443,232
340,193,556,218,476
442,257,184,357,177
525,380,255,453,160
508,207,139,439,41
349,208,259,456,321
508,346,172,492,273
519,232,255,331,196
424,191,167,417,271
425,216,134,393,252
279,118,190,277,253
462,434,165,409,248
655,285,100,458,256
496,350,62,482,162
425,219,184,298,234
364,145,50,195,271
314,207,164,429,153
443,314,228,467,282
452,239,181,338,126
571,348,179,437,236
360,219,159,348,253
945,663,308,338,170
485,284,232,433,348
487,270,255,359,268
409,258,282,428,304
290,152,587,180,423
708,392,245,505,224
448,277,168,594,63
391,278,189,317,153
698,610,214,457,257
457,306,252,424,212
404,212,161,426,35
462,341,104,264,180
374,221,200,255,337
714,475,302,498,289
379,167,14,355,130
553,405,305,132,306
870,566,212,412,161
692,383,215,477,78
563,341,193,476,149
304,127,66,455,91
303,164,61,402,174
574,378,32,451,230
370,159,139,367,144
658,493,238,277,307
501,334,105,404,82
394,173,194,241,17
327,153,168,387,150
354,221,264,403,275
625,302,173,297,108
427,263,148,480,92
833,413,261,554,216
332,271,243,269,120
475,278,194,442,300
427,282,65,370,224
372,207,352,445,103
231,148,58,365,205
449,334,156,377,334
391,206,220,241,154
587,433,171,294,280
360,171,239,300,264
499,378,264,445,252
496,220,197,391,153
242,144,376,233,253
568,368,215,428,319
