"FS","SS","FL1.LOG","FL2.LOG","FL4.LOG"
532,131,523,414,672
517,149,465,350,696
725,478,366,421,304
507,147,281,483,106
478,171,453,176,732
606,404,514,594,864
467,88,256,504,162
659,149,265,576,166
739,174,290,563,231
524,145,479,189,720
682,181,333,491,205
781,183,303,533,273
807,520,165,135,245
470,97,408,102,684
433,191,315,300,370
676,173,244,526,113
375,53,188,393,133
848,624,203,222,244
421,129,241,145,224
544,125,303,500,191
715,195,329,648,253
639,469,310,302,330
543,137,433,155,735
367,209,169,127,130
645,243,373,501,314
688,283,311,597,318
601,267,331,624,314
1004,151,326,585,314
555,156,253,554,292
518,368,267,208,501
612,166,282,591,275
496,140,320,514,129
975,257,314,502,221
601,235,227,144,237
456,184,274,309,201
603,144,217,540,174
509,144,319,557,213
956,408,167,166,182
623,421,442,377,590
559,302,463,664,345
767,599,240,196,277
655,88,313,509,236
528,65,380,272,712
998,546,179,68,135
856,169,320,561,258
642,148,305,549,241
618,193,307,628,339
463,113,598,128,711
537,199,292,508,280
777,511,234,248,326
448,78,477,30,721
606,258,252,226,254
739,82,268,572,188
771,801,554,387,632
492,113,423,396,731
468,67,300,553,241
474,112,304,491,277
381,74,196,366,121
715,174,372,538,171
595,332,185,174,243
453,156,343,494,310
494,132,261,439,96
588,104,245,526,158
492,97,483,227,688
744,192,302,588,241
637,200,171,415,60
435,92,421,194,714
597,202,267,520,233
440,127,218,579,130
380,162,279,364,266
501,333,251,241,261
546,131,534,298,803
834,244,300,491,228
607,195,333,571,314
546,102,449,24,791
724,267,374,601,464
522,116,394,45,773
742,178,291,566,233
541,150,349,523,290
568,257,248,174,244
657,192,301,531,267
523,78,109,449,122
511,124,301,573,205
429,85,263,469,35
459,156,402,385,668
795,463,189,297,220
439,110,465,334,666
516,134,487,379,761
783,178,272,531,302
627,138,327,521,263
634,152,314,501,242
343,78,362,18,662
512,139,288,534,256
413,104,354,261,698
659,108,234,433,179
477,96,90,465,167
943,594,205,198,226
781,202,195,499,113
797,555,191,186,188
530,187,422,192,674
451,181,374,461,510
587,323,247,198,221
848,592,179,279,160
688,265,318,583,275
918,237,472,563,682
545,145,622,351,798
795,201,362,497,206
533,181,204,446,294
470,76,252,417,97
481,137,493,339,740
465,68,635,8,681
512,114,610,265,707
538,191,269,556,234
703,717,196,155,248
610,125,401,65,723
673,564,152,141,155
463,164,306,330,338
828,440,148,200,112
676,180,294,517,208
460,84,239,517,13
783,273,294,568,237
548,150,251,480,226
514,142,355,394,98
593,173,298,603,274
