"FS","SS","FL1.LOG","FL2.LOG","FL4.LOG"
451,116,128,628,198
557,160,569,316,698
427,74,408,479,149
555,150,389,188,706
501,105,501,271,650
527,98,54,575,113
614,110,85,584,235
554,130,114,603,166
595,117,140,535,207
796,260,135,730,338
440,96,513,126,647
517,107,123,543,171
427,86,563,263,594
413,77,184,452,191
484,110,67,613,241
533,186,106,624,193
480,121,458,280,691
524,151,124,700,304
404,65,100,546,65
505,72,339,332,666
514,130,115,608,154
337,104,82,463,150
559,134,100,572,222
468,149,150,591,188
431,79,173,476,196
489,108,317,434,118
436,90,522,206,653
448,68,87,446,163
396,112,100,493,214
503,161,77,615,209
458,55,221,482,169
473,92,120,493,132
402,73,288,458,140
411,66,207,369,135
405,54,64,468,137
427,269,255,215,248
416,62,569,362,786
446,63,219,536,89
408,64,195,500,136
472,92,507,241,696
362,62,46,446,80
456,84,144,557,150
621,150,29,689,267
491,132,74,420,162
424,89,110,502,74
510,107,124,626,218
639,147,94,615,253
958,246,164,659,325
399,53,474,20,713
534,101,116,300,71
440,64,290,410,98
410,97,37,584,291
386,91,440,279,709
414,68,490,190,675
379,51,531,150,631
465,72,587,207,600
416,121,123,579,157
464,158,398,385,684
401,89,48,565,190
723,107,120,635,56
582,206,165,648,293
428,71,185,503,158
500,124,143,651,15
765,348,264,754,512
667,415,313,355,361
735,244,145,635,280
312,69,99,564,43
480,75,444,152,710
616,143,155,604,339
414,80,115,503,206
409,58,503,45,701
734,276,223,268,314
351,101,508,267,702
572,76,189,528,115
477,113,116,589,109
453,74,453,158,622
519,96,77,620,295
417,102,91,679,267
466,143,84,561,244
357,69,355,487,149
401,52,107,525,193
701,275,120,638,112
413,64,254,480,62
492,118,56,635,238
450,69,240,514,71
466,124,135,549,169
503,62,187,160,693
502,133,55,626,170
401,85,628,224,655
542,117,120,600,194
458,102,415,269,719
425,73,56,547,9
504,89,377,45,736
430,65,480,186,636
465,82,43,568,120
360,48,193,514,186
604,88,547,154,740
567,139,101,601,201
398,93,61,594,114
438,61,177,461,207
749,257,55,497,123
470,73,84,577,213
495,160,135,663,260
442,67,310,533,147
527,144,86,675,185
595,142,99,666,207
732,225,132,619,295
595,96,151,539,188
792,217,188,289,284
305,152,19,91,121
473,81,194,528,127
356,74,176,529,222
557,146,152,525,208
429,63,246,486,125
534,146,378,244,698
467,77,528,193,748
362,58,161,596,58
459,68,499,104,720
463,97,71,492,192
469,89,78,539,219
460,67,481,134,665
631,137,137,624,202
457,112,89,596,241
443,68,82,518,63
444,62,134,396,7
720,125,146,582,197
433,127,99,577,226
473,62,561,223,660
517,111,96,620,136
543,191,66,702,300
358,59,496,335,679
462,112,108,594,233
410,71,456,115,691
451,100,395,169,640
519,64,505,119,681
537,94,86,568,184
465,147,137,539,189
442,86,258,541,117
305,168,207,188,273
543,209,80,620,212
557,165,122,610,297
404,75,517,74,724
422,69,87,537,45
424,203,224,205,294
508,100,491,213,750
439,89,119,537,110
990,701,535,650,761
765,236,220,708,462
389,90,214,557,366
736,240,182,670,341
451,84,440,80,741
570,147,143,593,262
425,102,179,548,254
405,68,458,164,602
381,76,282,447,121
522,122,141,587,294
627,130,149,561,265
724,290,120,686,259
450,61,55,476,60
525,91,88,585,19
342,154,460,542,692
761,579,339,297,403
429,63,473,202,617
522,119,141,552,376
442,83,478,174,654
407,93,55,604,130
