"FS","SS","FL1.LOG","FL2.LOG","FL4.LOG"
821,151,178,679,288
902,214,206,679,311
500,144,118,656,307
388,68,90,510,133
428,70,154,638,227
496,101,200,474,234
415,107,111,622,250
570,106,146,612,225
420,109,200,633,318
695,158,154,683,298
466,126,175,658,270
661,223,261,663,299
482,103,184,622,223
503,68,65,536,267
419,135,158,658,353
353,68,653,120,693
523,96,142,525,279
747,165,206,634,285
388,53,75,525,104
414,106,120,591,145
356,58,554,211,691
474,103,158,681,254
445,76,164,559,213
473,140,155,611,238
851,248,188,125,226
760,116,107,612,271
509,80,122,601,273
670,119,121,660,327
567,98,188,530,197
513,141,166,717,344
686,296,296,274,301
547,67,72,564,279
647,178,187,660,267
410,111,136,573,287
566,100,223,674,302
535,115,145,577,219
680,185,275,528,442
598,121,150,705,289
494,105,146,623,192
376,88,134,575,228
563,161,214,589,277
381,72,431,186,730
378,109,232,194,265
421,88,544,258,778
448,107,609,224,775
327,97,334,511,513
392,97,118,190,158
560,147,161,703,277
294,110,366,549,543
499,91,135,661,253
676,147,104,653,294
884,223,237,714,326
497,110,120,671,290
767,128,179,661,354
596,98,118,644,269
423,96,525,264,736
425,87,142,618,242
987,321,271,709,321
483,78,161,507,228
407,102,125,555,236
758,142,223,646,282
636,111,188,596,280
494,142,142,606,224
382,73,122,472,128
447,107,208,635,306
488,93,124,603,276
579,111,124,547,155
536,142,143,652,190
476,103,166,559,229
526,86,161,636,180
481,127,134,631,276
391,57,112,622,220
732,74,157,525,148
359,76,217,547,187
376,68,104,525,260
529,160,133,681,275
557,162,186,640,277
543,127,149,614,234
448,122,225,638,385
923,195,220,721,319
622,123,132,600,246
455,98,19,565,228
458,92,93,658,249
528,93,176,666,297
324,76,403,603,493
480,79,587,288,738
548,135,150,602,266
688,158,192,701,343
874,195,202,635,234
648,115,164,568,247
453,120,183,507,200
640,107,174,626,302
821,113,200,499,323
696,138,175,626,299
901,127,233,651,304
461,119,174,645,187
549,74,173,579,209
538,130,124,600,233
466,78,328,407,614
489,112,189,651,261
770,135,130,610,240
595,113,121,638,294
822,130,201,661,252
738,153,199,666,302
497,97,554,233,765
557,129,179,668,283
534,102,195,617,263
607,185,163,678,298
818,267,211,778,397
748,244,202,502,292
730,157,139,747,332
535,104,148,622,222
519,87,125,537,227
436,68,143,451,236
874,142,165,635,306
596,89,152,527,195
888,228,232,713,358
379,113,140,578,192
485,113,614,227,786
469,101,107,652,289
713,110,188,664,306
437,75,85,510,221
461,76,503,264,735
586,193,155,694,257
695,87,151,601,238
316,59,77,630,239
520,118,116,705,286
668,201,177,661,316
405,64,100,546,207
727,121,164,600,197
630,115,110,630,122
826,230,165,690,327
650,332,212,568,189
443,130,196,558,248
368,65,112,573,182
625,105,157,570,157
421,80,482,165,720
521,101,145,586,228
471,75,75,596,224
498,133,160,579,59
400,173,144,557,208
539,68,137,595,173
856,264,206,708,360
683,131,137,573,310
425,106,121,592,221
841,147,144,665,312
661,140,178,501,273
635,146,221,649,331
395,79,362,137,691
826,185,161,633,307
463,87,115,568,198
415,90,175,589,154
853,171,231,688,293
820,158,191,660,320
776,124,93,645,300
425,66,115,508,220
450,63,73,639,256
548,105,160,653,237
577,99,510,247,658
535,155,216,640,234
484,64,172,537,222
555,78,119,576,196
333,56,370,87,690
921,244,218,739,340
619,123,109,637,242
661,128,151,646,195
522,68,165,564,307
475,87,134,557,181
807,168,164,662,301
557,123,112,492,199
579,126,157,564,270
742,176,201,623,257
404,101,118,575,175
337,196,276,615,400
534,96,154,557,93
582,113,53,609,264
472,93,99,622,293
708,136,171,553,217
716,128,189,555,133
611,136,148,644,274
577,74,164,644,334
531,88,158,601,285
849,262,314,754,475
565,166,150,593,247
681,188,186,688,288
303,187,207,167,195
645,162,155,666,228
541,195,248,718,349
809,150,215,601,216
528,348,386,384,545
482,110,189,602,304
599,173,200,675,315
486,134,165,546,198
694,180,174,694,285
570,114,129,613,233
699,271,242,637,345
363,114,147,577,189
487,89,184,613,247
907,197,182,695,308
919,157,173,663,265
668,138,155,619,294
492,220,257,163,165
944,136,170,676,254
633,115,227,579,245
389,161,154,558,220
770,206,240,679,362
627,143,170,640,302
689,176,189,538,307
509,188,159,566,234
451,97,128,669,266
552,67,159,593,233
559,367,346,174,385
659,152,113,594,259
685,120,197,664,274
