"FS","SS","FL1.LOG","FL2.LOG","FL4.LOG"
406,183,220,442,46
384,318,382,310,597
740,376,295,325,425
263,129,344,68,484
326,136,361,293,443
896,464,411,663,381
613,408,146,425,72
353,133,281,80,442
368,126,290,59,432
279,81,363,116,523
298,77,290,394,440
367,98,362,23,393
385,159,348,91,505
325,169,149,420,51
287,95,394,109,525
284,69,317,135,514
271,102,64,266,149
341,146,448,79,519
292,88,348,398,469
254,132,334,178,479
360,103,156,379,221
185,52,381,164,441
348,82,491,118,428
345,190,376,73,448
263,90,365,139,516
404,161,288,124,406
398,134,357,117,300
466,255,307,74,452
297,119,472,193,429
283,121,340,205,511
464,281,284,363,310
290,94,481,119,502
292,121,194,363,167
231,62,186,423,116
293,107,565,108,512
363,167,445,159,436
282,126,462,35,547
530,311,232,357,118
328,131,131,285,329
372,143,358,38,382
290,72,391,95,509
362,134,105,422,367
322,135,368,161,414
616,646,505,322,651
344,173,47,380,61
363,132,139,339,189
320,130,293,28,412
239,94,113,338,205
283,79,299,166,370
317,125,458,4,542
270,159,321,200,441
913,501,269,571,315
299,100,57,375,199
270,161,261,164,246
254,151,337,111,462
770,511,172,400,248
251,93,424,55,449
282,91,250,368,193
284,111,327,50,482
348,105,126,77,473
269,102,365,133,502
325,257,207,343,452
287,89,191,391,102
399,196,374,5,470
316,120,85,355,91
265,94,207,382,249
336,130,155,442,221
310,93,241,340,12
255,114,115,474,217
325,67,306,116,418
268,105,475,16,551
451,132,360,115,532
290,110,537,196,518
428,164,269,330,293
241,118,127,421,1
352,112,134,92,448
251,91,549,221,476
287,133,513,172,460
489,128,483,206,464
397,153,194,610,298
239,91,393,139,458
265,118,390,2,423
266,62,321,143,395
389,134,128,532,285
391,167,479,215,439
882,604,158,423,170
333,101,509,195,488
571,555,459,322,516
407,104,380,88,547
533,206,503,204,455
302,99,441,141,541
283,137,455,9,547
291,131,322,190,506
593,297,312,414,203
323,108,516,146,509
283,122,157,395,249
261,141,267,38,517
592,292,147,396,247
269,95,148,378,214
223,67,423,23,525
334,115,412,118,422
255,84,478,90,473
424,139,527,135,518
306,129,304,32,484
346,113,553,19,399
249,87,387,32,421
311,232,447,203,493
351,70,304,276,308
312,94,262,297,433
496,397,433,246,630
565,472,336,118,543
241,70,430,63,460
298,38,381,255,436
350,93,281,122,541
248,55,341,141,439
262,146,507,120,591
456,201,459,142,494
286,147,389,29,468
273,63,119,342,236
312,61,394,430,308
509,104,500,270,400
278,96,389,115,511
253,75,492,145,482
306,123,138,302,207
273,116,273,47,538
266,88,79,400,167
745,397,207,363,111
339,97,461,367,465
514,317,243,412,55
294,99,250,432,281
250,99,130,334,337
429,95,267,92,388
289,166,318,76,558
324,105,243,197,352
299,158,454,279,459
310,114,419,184,537
291,71,503,139,442
280,82,366,117,408
299,81,482,166,536
233,65,338,174,506
685,491,257,395,281
300,132,120,386,223
354,242,269,295,210
307,90,426,67,518
297,91,422,76,534
269,107,384,181,543
293,108,137,367,275
312,78,308,55,518
306,63,359,73,497
294,71,311,283,406
366,126,412,39,530
331,90,78,199,454
263,112,207,220,356
306,103,410,308,416
295,100,100,313,178
298,121,100,337,250
921,490,147,168,336
250,64,320,77,340
252,57,400,39,387
295,51,298,428,385
187,67,352,335,336
228,73,402,158,519
321,89,278,13,350
474,243,106,511,269
301,95,242,237,492
659,237,410,206,585
210,87,132,416,244
332,84,373,420,416
253,68,148,355,92
233,79,140,420,168
369,121,520,209,508
334,157,7,79,577
328,158,427,23,505
319,157,493,210,566
257,45,69,360,108
354,87,265,257,354
819,720,200,442,305
539,385,169,362,245
350,209,241,38,494
398,90,284,389,227
275,98,465,200,499
319,166,245,122,428
349,91,465,136,479
290,111,372,127,371
328,212,393,119,446
348,126,78,393,238
340,126,364,162,383
262,61,233,330,122
277,121,397,321,419
260,116,345,173,481
250,73,364,224,397
255,57,264,383,404
354,85,305,76,392
231,80,209,281,278
266,52,47,274,215
509,379,458,178,356
336,143,352,30,448
354,137,351,93,398
962,677,234,411,210
220,54,274,223,504
308,97,203,94,375
282,57,192,467,262
427,106,386,384,389
310,91,159,328,86
270,120,403,18,501
291,101,403,137,411
434,136,377,2,492
726,721,455,381,645
507,324,205,277,353
362,219,521,166,527
332,262,339,275,478
814,770,276,281,141
284,165,108,468,36
202,44,245,58,195
502,148,171,206,326
439,242,157,363,231
338,158,216,277,189
629,235,528,200,384
304,74,363,382,410
297,185,374,225,477
259,109,508,94,536
250,64,245,257,407
283,135,504,42,483
252,79,460,156,503
243,54,360,350,507
255,63,344,432,312
294,88,403,428,284
741,574,228,363,267
250,54,316,365,203
295,98,295,219,489
262,96,530,42,454
342,147,402,128,466
336,98,447,223,359
337,269,384,170,426
276,54,253,403,425
323,121,467,107,494
279,87,390,183,514
333,111,144,425,196
315,121,456,137,520
195,46,359,144,500
383,148,374,164,288
382,147,259,178,493
210,64,232,351,177
287,130,344,126,407
253,44,408,241,307
680,647,253,436,303
268,57,289,435,346
492,487,429,444,501
544,270,246,131,479
309,76,387,289,497
427,216,49,231,168
330,86,391,110,503
264,52,463,190,532
349,138,245,515,132
296,113,388,169,463
390,102,400,247,437
365,157,44,436,181
245,112,283,100,440
280,144,485,432,460
281,81,388,182,479
498,393,335,259,520
261,69,149,376,471
378,112,92,243,216
252,62,252,252,345
267,72,404,95,572
310,83,257,163,290
278,92,9,374,17
223,64,505,192,553
409,181,331,95,527
296,180,296,631,346
269,60,255,47,300
279,68,281,203,467
462,174,467,121,429
274,72,528,135,487
273,105,481,27,519
319,123,421,109,520
