"FS","SS","FL1.LOG","FL2.LOG","FL4.LOG"
934,177,254,626,394
728,407,271,414,366
480,115,170,473,188
541,169,153,510,243
797,180,208,499,250
509,186,136,437,223
540,119,164,492,278
541,121,144,444,244
949,207,221,521,294
464,139,393,97,702
351,121,166,579,381
704,320,237,241,459
643,154,107,526,270
567,106,129,382,205
540,157,113,444,259
752,242,344,253,338
923,293,204,518,246
339,80,186,550,201
553,154,469,290,702
590,177,193,550,351
666,356,306,499,355
370,90,552,143,712
575,147,178,420,207
772,150,207,520,299
915,262,204,521,220
391,102,116,481,194
575,179,214,482,300
483,98,589,165,751
898,219,242,562,329
582,165,186,508,267
760,174,155,511,240
479,131,108,507,156
592,171,206,469,328
769,249,217,572,308
765,185,202,562,401
636,190,216,452,267
597,191,196,494,197
512,176,171,433,147
446,107,423,405,788
647,105,152,422,103
725,191,202,430,309
797,258,512,553,744
467,103,140,460,74
795,236,224,539,291
916,334,185,534,273
796,205,151,556,298
619,179,157,528,254
955,240,262,537,359
589,149,172,455,221
639,147,123,443,204
916,175,207,448,327
946,242,203,604,328
593,240,190,375,249
765,223,204,527,336
613,103,149,481,193
564,164,135,473,260
552,114,138,439,118
668,181,151,454,210
685,143,105,465,234
449,141,149,413,148
836,262,158,505,335
643,141,153,466,234
695,145,185,394,323
539,200,179,524,266
668,201,203,452,304
754,204,192,603,328
505,115,176,415,246
739,217,239,552,321
654,153,148,369,254
542,125,151,399,236
549,195,206,476,271
501,97,156,438,129
626,195,188,525,269
682,144,195,403,256
424,81,547,164,788
617,142,111,324,240
788,191,174,488,232
305,69,541,131,724
762,132,161,425,209
657,215,208,668,342
743,218,221,526,278
448,115,423,128,722
382,111,422,289,752
576,84,120,430,180
383,77,404,421,614
400,61,117,537,213
666,149,208,515,253
627,156,93,565,103
578,102,386,268,717
610,82,187,465,133
609,101,144,359,263
836,174,179,445,281
990,240,230,534,306
536,137,151,487,284
635,177,212,513,236
471,90,458,107,737
878,176,206,500,318
417,111,134,401,221
587,115,136,430,166
449,140,532,163,747
572,114,210,535,298
619,168,181,442,206
521,142,446,340,773
485,113,372,267,655
438,80,515,100,777
433,94,358,237,620
336,103,433,322,777
664,154,171,481,231
402,116,327,212,741
737,202,189,570,235
638,182,183,476,222
751,192,257,520,480
494,128,150,393,203
663,112,116,441,244
971,206,196,417,311
705,143,130,489,280
708,130,187,333,187
846,226,192,474,315
713,180,469,346,765
476,116,414,345,748
364,94,374,159,749
663,177,205,453,245
894,229,235,623,378
318,68,149,384,216
712,115,128,548,311
857,174,124,498,236
681,161,182,521,300
541,147,184,447,148
535,210,500,382,714
634,186,166,367,223
809,138,168,381,210
742,189,200,385,316
466,96,119,453,285
540,106,134,512,296
500,163,174,534,320
1015,169,182,421,283
704,144,167,482,198
696,139,158,354,291
431,117,158,432,223
