"FS","SS","FL1.LOG","FL2.LOG","FL4.LOG"
458,286,171,387,118
298,199,153,540,181
577,283,285,510,247
390,222,137,468,90
316,99,414,84,493
423,253,184,524,115
387,227,385,97,425
449,299,236,454,233
258,103,110,516,87
365,201,430,219,426
318,78,452,73,484
589,801,385,245,336
708,291,253,521,227
360,206,260,235,418
383,187,237,497,229
212,137,249,123,392
729,290,245,492,210
649,274,259,543,235
317,129,292,150,427
367,152,99,462,124
424,226,106,380,118
535,397,196,528,188
367,174,144,453,132
316,148,68,438,98
543,210,230,497,196
327,191,385,288,491
298,77,425,79,463
223,94,438,74,423
385,139,302,276,355
276,202,153,455,103
349,168,350,425,150
184,196,355,268,282
405,502,266,194,144
401,234,145,455,113
699,412,221,519,190
296,99,327,182,461
572,401,318,652,317
339,294,149,455,184
377,387,116,456,151
527,353,267,411,263
280,80,531,123,480
617,460,277,493,228
395,251,171,526,155
371,227,126,445,93
721,308,243,552,202
231,185,196,483,140
326,181,364,135,524
569,223,253,518,243
310,139,230,134,447
361,171,156,439,201
493,161,270,467,237
176,178,308,226,211
348,194,355,78,406
460,280,216,507,118
251,169,121,543,130
454,231,229,457,188
713,395,482,498,599
400,235,439,302,468
374,170,179,494,99
352,242,335,501,261
636,307,245,460,218
291,90,269,148,420
209,103,385,96,400
321,145,361,169,339
493,221,212,513,205
768,241,245,437,241
553,397,215,552,186
551,273,137,500,3
381,134,503,237,432
344,128,481,94,462
554,245,206,527,165
475,296,191,411,148
321,167,256,96,436
454,347,214,443,96
334,136,54,453,80
477,252,181,467,176
267,237,408,392,526
341,106,467,194,395
334,108,280,142,490
703,605,300,491,262
421,190,138,440,128
598,337,234,460,207
306,140,313,90,436
231,171,324,68,426
382,194,143,465,122
465,218,175,447,116
286,122,430,115,329
376,105,502,78,440
532,357,263,480,220
502,397,125,502,81
226,126,403,281,509
427,268,201,400,197
655,598,155,518,169
303,167,318,152,419
332,149,401,360,476
463,221,222,376,179
416,165,184,464,128
337,133,151,322,153
701,436,349,613,346
281,158,415,81,470
406,315,307,503,277
455,279,209,509,190
307,126,320,117,401
421,222,167,509,196
504,435,255,510,206
367,255,216,489,179
331,133,528,91,452
588,244,195,558,197
394,144,316,165,323
364,131,161,370,157
486,400,223,434,214
315,175,356,185,440
467,179,161,406,56
579,257,189,452,168
695,308,240,532,217
292,101,1,190,111
398,201,169,464,153
312,116,262,178,440
700,541,296,551,293
371,225,147,402,120
