"FS","SS","FL1.LOG","FL2.LOG","FL4.LOG"
374,179,450,192,451
366,144,65,334,142
301,81,186,395,17
912,704,278,230,247
305,134,79,327,103
379,202,223,547,201
293,75,466,203,445
282,138,443,107,476
433,193,267,403,456
345,133,141,295,152
477,219,99,523,122
410,168,124,360,213
399,125,172,395,203
396,109,252,233,410
350,111,417,270,510
604,348,571,373,584
334,111,115,346,92
360,94,44,374,2
241,79,484,119,363
342,100,103,288,176
622,231,122,426,184
365,141,198,405,214
514,454,424,267,377
320,107,563,361,473
371,120,141,444,147
309,74,123,386,320
223,114,336,136,445
483,454,298,321,338
535,479,505,564,494
225,168,367,254,362
247,143,429,223,314
402,132,105,534,191
379,118,196,442,292
369,85,325,101,527
437,205,78,446,127
322,233,372,326,471
316,329,524,292,497
568,166,109,273,165
330,74,18,440,233
551,211,248,346,205
435,349,243,7,301
217,85,308,119,245
462,141,21,291,131
450,267,321,213,511
354,190,8,331,237
386,91,38,372,155
382,182,175,410,198
311,193,63,342,160
363,198,503,124,566
381,129,239,363,224
474,496,375,290,229
362,130,42,418,84
488,180,157,377,218
667,352,196,666,280
543,300,184,610,191
272,80,69,327,111
391,132,266,444,63
422,132,504,231,445
424,409,350,186,304
355,146,114,352,239
250,100,450,143,458
650,295,93,355,278
337,130,325,233,449
250,128,283,34,519
267,85,544,139,462
273,122,398,224,423
483,242,182,469,111
298,106,168,348,183
402,113,66,399,213
267,93,162,157,516
345,142,150,341,261
295,78,402,211,426
314,104,401,144,501
465,183,70,496,179
579,328,543,368,517
374,113,94,263,1
508,246,179,498,74
295,106,443,187,509
369,143,80,460,226
465,196,24,452,125
387,160,215,440,308
297,70,31,356,85
361,136,192,275,234
375,132,44,429,30
293,75,329,178,357
295,146,546,221,522
306,116,77,370,26
227,114,138,423,266
334,132,19,429,210
597,382,361,300,257
248,55,367,181,473
417,113,494,277,517
527,208,96,389,234
344,221,216,352,486
334,148,190,331,190
692,568,236,398,246
348,137,460,165,558
314,116,529,379,513
381,159,194,385,233
359,178,544,188,498
505,552,325,407,108
421,161,207,420,267
367,188,13,586,207
274,69,3,404,156
392,114,102,504,186
363,136,225,389,192
363,73,430,262,493
335,132,359,14,478
518,194,24,532,227
285,249,442,24,470
464,236,130,511,173
298,113,527,161,464
360,149,214,355,227
694,278,450,506,470
324,194,517,391,573
425,215,192,489,248
340,88,518,220,389
242,108,390,53,514
319,122,108,377,188
308,75,496,220,412
298,158,382,351,542
443,132,78,399,178
461,223,221,439,39
521,260,208,351,149
354,154,129,442,169
666,790,381,349,338
532,442,673,166,327
884,289,262,499,139
338,119,432,102,403
461,188,194,410,147
327,129,172,356,49
353,137,519,23,477
333,98,136,361,131
270,92,112,349,178
277,97,368,313,467
580,168,175,576,168
279,153,364,120,479
324,96,390,38,374
327,171,138,414,131
487,166,124,474,234
285,99,486,14,609
410,142,182,385,183
368,124,149,399,119
407,157,139,419,125
246,102,485,116,435
376,122,35,355,63
429,103,113,383,154
490,293,256,178,330
344,212,342,277,532
380,103,186,119,432
582,198,502,436,521
445,134,164,405,229
483,299,394,103,519
361,126,61,315,98
208,131,2,496,129
304,110,170,448,75
276,100,106,453,162
246,98,11,297,203
409,150,140,433,175
542,185,32,422,197
360,157,171,295,261
343,132,508,312,449
323,127,75,347,183
474,213,534,379,476
620,746,487,495,413
702,352,291,516,261
350,146,185,390,130
335,160,7,392,279
408,153,88,497,96
329,97,15,345,123
325,130,401,135,503
649,324,467,323,461
454,171,41,453,160
411,150,127,431,21
286,95,469,365,461
712,446,188,544,258
488,222,369,558,336
586,288,83,270,51
435,113,212,399,162
335,153,286,142,443
510,120,28,329,257
308,142,390,423,532
323,113,309,372,116
295,152,134,422,185
384,155,14,432,182
430,106,159,412,109
268,129,125,355,207
629,318,71,513,187
381,143,122,243,216
474,168,85,404,116
435,119,106,312,143
338,129,265,227,579
398,203,83,436,176
515,189,485,413,519
861,399,482,413,433
516,485,307,257,337
289,92,33,355,39
368,179,145,379,83
353,142,531,485,586
