"FS","SS","FL1.LOG","FL2.LOG","FL4.LOG"
409,732,349,288,286
523,189,201,458,210
239,130,325,252,494
286,92,507,133,398
192,129,248,136,353
189,234,355,257,291
549,322,282,425,273
265,108,334,97,396
254,212,331,188,339
306,173,328,146,462
399,219,176,318,169
395,223,121,176,110
582,282,231,495,197
269,296,328,394,331
484,189,235,354,208
231,409,395,457,371
552,238,237,431,169
357,150,331,236,433
319,188,450,178,408
526,897,460,462,454
445,225,124,371,154
231,117,99,226,120
295,111,447,129,492
218,111,240,21,283
341,119,376,169,397
398,541,444,440,386
324,191,117,426,99
462,270,270,553,270
285,172,307,135,390
272,145,466,156,422
223,63,291,182,181
337,127,442,298,497
242,131,317,74,448
324,131,201,159,468
225,356,346,339,319
335,135,300,111,386
326,630,364,309,400
279,130,323,75,310
275,263,134,450,34
209,126,254,354,218
187,206,251,306,290
260,152,453,189,478
246,138,403,151,401
254,73,360,116,437
333,149,334,149,482
733,414,257,423,220
257,145,332,116,370
455,613,222,499,199
364,101,176,315,184
293,98,240,364,127
267,109,391,46,402
336,170,301,205,392
252,151,429,174,422
205,68,100,139,112
208,147,473,158,468
334,237,96,424,57
247,119,352,89,473
402,299,172,457,188
344,152,109,457,49
706,376,307,592,264
351,124,328,116,415
316,69,444,166,373
227,217,460,267,484
562,328,266,435,224
226,124,323,139,399
321,167,452,144,474
387,659,445,361,404
197,128,311,123,457
253,294,314,197,254
323,455,370,360,372
421,143,338,255,481
283,125,499,145,468
361,225,103,406,51
317,216,391,256,391
250,90,332,62,362
339,271,46,366,49
241,79,412,166,327
465,648,482,434,487
263,276,355,262,533
185,110,419,139,499
342,168,110,276,100
505,342,240,409,201
198,91,120,375,124
182,135,301,276,450
195,112,321,112,386
311,100,353,132,389
305,159,593,164,447
270,198,100,336,105
308,516,423,376,383
439,424,243,458,234
325,407,269,168,176
206,149,366,278,341
323,418,494,319,474
215,115,468,139,460
440,455,454,183,442
243,89,393,79,434
211,141,337,256,345
218,244,263,310,323
481,367,422,367,491
199,258,399,289,374
272,134,115,156,30
324,122,95,467,107
231,104,543,129,418
273,122,331,147,412
454,427,202,534,177
277,84,450,119,402
571,551,298,520,249
482,253,189,420,192
278,76,294,136,405
484,229,171,395,185
