"FS","SS","FL1.LOG","FL2.LOG","FL4.LOG"
564,382,129,425,141
309,243,60,264,121
271,131,125,277,56
262,183,56,399,11
475,235,170,388,136
273,125,359,355,354
482,213,134,383,186
415,293,157,236,137
389,186,150,427,143
312,162,78,211,52
225,73,445,88,467
392,349,162,398,173
419,227,150,395,205
330,171,134,241,99
400,190,181,345,144
256,71,115,259,152
352,162,91,298,111
571,439,245,460,229
342,248,119,265,109
405,294,181,411,182
378,153,58,281,116
202,82,47,211,100
356,201,175,322,144
376,199,71,338,107
222,128,112,322,107
425,416,135,390,132
270,160,298,43,547
382,139,216,110,175
216,69,109,300,131
370,127,71,347,170
298,156,85,274,169
334,336,233,318,196
367,183,110,274,115
511,859,394,350,283
297,133,80,366,74
509,270,261,388,211
463,232,223,228,214
272,160,289,135,91
271,146,111,351,74
331,168,152,215,124
526,409,268,447,255
188,140,293,290,268
551,527,215,398,172
318,283,199,292,123
360,209,184,405,161
350,276,304,155,272
326,133,367,178,435
517,289,194,247,135
337,246,601,248,486
503,238,201,299,115
345,328,258,193,166
329,393,158,235,114
489,347,173,187,163
378,220,129,304,57
241,276,386,278,256
211,93,91,178,78
342,155,269,174,510
394,322,189,361,153
382,220,105,376,87
227,125,131,247,83
652,476,276,403,234
197,152,177,322,155
456,277,129,358,146
305,288,131,259,129
284,175,362,186,562
296,154,315,207,451
262,226,97,234,45
337,195,98,306,112
399,231,111,337,59
370,326,98,342,136
469,304,147,345,66
296,188,146,356,120
288,130,368,144,443
302,112,189,418,130
347,222,69,277,117
690,410,416,313,443
362,165,56,326,97
421,223,184,236,145
278,161,155,341,13
331,261,125,352,116
317,296,104,401,3
464,212,128,281,150
339,139,460,143,461
412,180,188,260,93
388,185,173,231,158
307,211,96,290,120
420,373,529,277,541
342,194,213,368,77
475,350,205,336,150
420,315,232,541,287
242,153,97,360,59
469,175,213,370,154
334,121,166,267,173
269,234,146,400,10
188,283,187,199,149
226,193,74,321,139
334,107,69,255,79
337,239,129,438,156
